Dataset: PaySim (~6.3M transactions)
Policy Mode: BEHAVIORAL
Policy Version: 1.0.0

Top Resolved Entities by Total Amount:
+----------------+--------------+------------+-----------------+
|resolvedEntityId|totalAmount	|numberOfTxns|distinctIdsMerged|
+----------------+--------------+------------+-----------------+
|60129841133     |140,000,000   |14          |14               |
|60130221781     |100,000,000   |10          |10               |
|60130288633     |100,000,000   |10          |10               |
|51540355144     |80,000,000    |8           |8                |
|60130207639     |60,000,000    |6           |6                |
|60130270887     |60,000,000    |6           |6                |
|60129935774     |60,000,000    |6           |6                |
|25770584120     |50,000,000    |5           |5                |
|60129981844     |50,000,000    |5           |5                |
|60130283571     |50,000,000    |5           |5                |
|51539824821     |40,000,000    |4           |4                |
|42949812263     |40,000,000    |4           |4                |
|60130192586     |40,000,000    |4           |4                |
|17179963833     |40,000,000    |4           |4                |
|60129999435     |30,000,000    |3           |3                |
|34360284531     |30,000,000    |3           |3                |
|60130094674     |30,000,000    |3           |3                |
|60130131614     |30,000,000    |3           |3                |
|34360134618     |30,000,000    |3           |3                |
|8590155852      |30,000,000    |3           |3                |
+----------------+--------------+------------+-----------------+
Note: distinctIdsMerged represents distinct identifier values (nameOrig) merged per entity in the PaySim dataset.
